SKU,Product,Location,Unit Price,Current stock,Current Stock Value (By purchase price),Current Stock Value (By sale price),Potential profit,Total unit sold,Total Unit Transfered,Total Unit Adjusted
1539,SPANDLE SCREW (BRASS),BILAL TRADERS LH,320,80 BG,17600,25600,8000,0 BG,0 BG,0 BG
1540,SPANDLE (INDUS GROUP),BILAL TRADERS LH,105,105,9450,11025,1575,290,0,0
1541,SPANDLE (LAMBAY/CONSEALED),BILAL TRADERS LH,120,93,13218,11160,-2058,54,0,0
1542,SPANDLE (MIX),BILAL TRADERS LH,145,164,19680,23780,4100,0,0,0
1543,SPANDLE VALVE/GOTI (NO:3),BILAL TRADERS LH,28,351,8073,9828,1755,24,0,0
1544,SPANDLE VALVE/GOTI (NO:4),BILAL TRADERS LH,32,408,10608,13056,2448,24,0,0
1545,SPANDLE VALVE/GOTI (NO:5),BILAL TRADERS LH,35,604,17516,21140,3624,12,0,0
1546,SPANDLE VALVE/GOTI (NO:6),BILAL TRADERS LH,39,628,20096,24492,4396,12,0,0
1547,SPANDLE VALVE/GOTI (NO:7),BILAL TRADERS LH,42,149,5215,6258,1043,12,0,0
1548,"STEEL JALI GOL 3"" (SS)",BILAL TRADERS LH,120,18,1800,2160,360,1,0,0
1549,"STEEL JALI GOL 4"" (MS)",BILAL TRADERS LH,130,33,4365,4290,-75,5,0,0
1550,"STEEL JALI GOL 4"" (SS)",BILAL TRADERS LH,240,12,2400,2880,480,7,0,0
1551,"STEEL JALI GOL 4"" HOLE (MS)",BILAL TRADERS LH,130,47,6285,6110,-175,2,0,0
1552,"STEEL JALI GOL 4"" HOLE (SS)",BILAL TRADERS LH,240,11,2200,2640,440,2,0,0
1553,"STEEL JALI GOL 5"" (MS)",BILAL TRADERS LH,160,18,3240,2880,-360,4,0,0
1554,"STEEL JALI GOL 5"" (SS)",BILAL TRADERS LH,280,11,2530,3080,550,5,0,0
1555,"STEEL JALI GOL 5"" HOLE (MS)",BILAL TRADERS LH,225,18,3240,4050,810,2,0,0
1556,"STEEL JALI GOL 5"" HOLE (SS)",BILAL TRADERS LH,280,21,4830,5880,1050,2,0,0
1557,"STEEL JALI GOL 6"" (MS)",BILAL TRADERS LH,375,37,11100,13875,2775,3,0,0
1558,"STEEL JALI GOL 6"" (SS)",BILAL TRADERS LH,525,18,7560,9450,1890,2,0,0
1559,"STEEL JALI GOL 6"" HOLE (MS)",BILAL TRADERS LH,235,19,5700,4465,-1235,1,0,0
1560,"STEEL JALI GOL 6"" HOLE (SS)",BILAL TRADERS LH,280,4,920,1120,200,1,0,0
1561,STEEL SHELF,BILAL TRADERS LH,250,10,2300,2500,200,0,0,0
1562,STOP COCK NEELAM,,550,0,,0,0,0,0,0
